date,new_cases_smoothed
2020-03-15,9.714
2020-03-16,9.714
2020-03-17,9.714
2020-03-18,9.714
2020-03-19,9.714
2020-03-20,9.714
2020-03-21,9.714
2020-03-22,36.143
2020-03-23,36.143
2020-03-24,36.143
2020-03-25,36.143
2020-03-26,36.143
2020-03-27,36.143
2020-03-28,36.143
2020-03-29,88.429
2020-03-30,88.429
2020-03-31,88.429
2020-04-01,88.429
2020-04-02,88.429
2020-04-03,88.429
2020-04-04,88.429
2020-04-05,342.143
2020-04-06,342.143
2020-04-07,342.143
2020-04-08,342.143
2020-04-09,342.143
2020-04-10,342.143
2020-04-11,342.143
2020-04-12,711.714
2020-04-13,711.714
2020-04-14,711.714
2020-04-15,711.714
2020-04-16,711.714
2020-04-17,711.714
2020-04-18,711.714
2020-04-19,1050.857
2020-04-20,1050.857
2020-04-21,1050.857
2020-04-22,1050.857
2020-04-23,1050.857
2020-04-24,1050.857
2020-04-25,1050.857
2020-04-26,1540.571
2020-04-27,1540.571
2020-04-28,1540.571
2020-04-29,1540.571
2020-04-30,1540.571
2020-05-01,1540.571
2020-05-02,1540.571
2020-05-03,1926.286
2020-05-04,1926.286
2020-05-05,1926.286
2020-05-06,1926.286
2020-05-07,1926.286
2020-05-08,1926.286
2020-05-09,1926.286
2020-05-10,3279.857
2020-05-11,3279.857
2020-05-12,3279.857
2020-05-13,3279.857
2020-05-14,3279.857
2020-05-15,3279.857
2020-05-16,3279.857
2020-05-17,3998.286
2020-05-18,3998.286
2020-05-19,3998.286
2020-05-20,3998.286
2020-05-21,3998.286
2020-05-22,3998.286
2020-05-23,3998.286
2020-05-24,5848.714
2020-05-25,5848.714
2020-05-26,5848.714
2020-05-27,5848.714
2020-05-28,5848.714
2020-05-29,5848.714
2020-05-30,5848.714
2020-05-31,7182.143
2020-06-01,7182.143
2020-06-02,7182.143
2020-06-03,7182.143
2020-06-04,7182.143
2020-06-05,7182.143
2020-06-06,7182.143
2020-06-07,9212.143
2020-06-08,9212.143
2020-06-09,9212.143
2020-06-10,9212.143
2020-06-11,9212.143
2020-06-12,9212.143
2020-06-13,9212.143
2020-06-14,10613.429
2020-06-15,10613.429
2020-06-16,10613.429
2020-06-17,10613.429
2020-06-18,10613.429
2020-06-19,10613.429
2020-06-20,10613.429
2020-06-21,12791.286
2020-06-22,12791.286
2020-06-23,12791.286
2020-06-24,12791.286
2020-06-25,12791.286
2020-06-26,12791.286
2020-06-27,12791.286
2020-06-28,16914
2020-06-29,16914
2020-06-30,16914
2020-07-01,16914
2020-07-02,16914
2020-07-03,16914
2020-07-04,16914
2020-07-05,20615.143
2020-07-06,20615.143
2020-07-07,20615.143
2020-07-08,20615.143
2020-07-09,20615.143
2020-07-10,20615.143
2020-07-11,20615.143
2020-07-12,25198.286
2020-07-13,25198.286
2020-07-14,25198.286
2020-07-15,25198.286
2020-07-16,25198.286
2020-07-17,25198.286
2020-07-18,25198.286
2020-07-19,32580.714
2020-07-20,32580.714
2020-07-21,32580.714
2020-07-22,32580.714
2020-07-23,32580.714
2020-07-24,32580.714
2020-07-25,32580.714
2020-07-26,43986.286
2020-07-27,43986.286
2020-07-28,43986.286
2020-07-29,43986.286
2020-07-30,43986.286
2020-07-31,43986.286
2020-08-01,43986.286
2020-08-02,52171.571
2020-08-03,52171.571
2020-08-04,52171.571
2020-08-05,52171.571
2020-08-06,52171.571
2020-08-07,52171.571
2020-08-08,52171.571
2020-08-09,57469.571
2020-08-10,57469.571
2020-08-11,57469.571
2020-08-12,57469.571
2020-08-13,57469.571
2020-08-14,57469.571
2020-08-15,57469.571
2020-08-16,62381.714
2020-08-17,62381.714
2020-08-18,62381.714
2020-08-19,62381.714
2020-08-20,62381.714
2020-08-21,62381.714
2020-08-22,62381.714
2020-08-23,65036.857
2020-08-24,65036.857
2020-08-25,65036.857
2020-08-26,65036.857
2020-08-27,65036.857
2020-08-28,65036.857
2020-08-29,65036.857
2020-08-30,71113.286
2020-08-31,71113.286
2020-09-01,71113.286
2020-09-02,71113.286
2020-09-03,71113.286
2020-09-04,71113.286
2020-09-05,71113.286
2020-09-06,81582.571
2020-09-07,81582.571
2020-09-08,81582.571
2020-09-09,81582.571
2020-09-10,81582.571
2020-09-11,81582.571
2020-09-12,81582.571
2020-09-13,91506.429
2020-09-14,91506.429
2020-09-15,91506.429
2020-09-16,91506.429
2020-09-17,91506.429
2020-09-18,91506.429
2020-09-19,91506.429
2020-09-20,92323.286
2020-09-21,92323.286
2020-09-22,92323.286
2020-09-23,92323.286
2020-09-24,92323.286
2020-09-25,92323.286
2020-09-26,92323.286
2020-09-27,84559
2020-09-28,84559
