iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
AFG,Asia,Afghanistan,2020-03-29,41128772,91,67,9.571,2,2,0.286,2.213,1.629,0.233,0.049,0.049,0.007,1.51
AFG,Asia,Afghanistan,2020-03-30,41128772,91,0,9.571,2,0,0.286,2.213,0,0.233,0.049,0,0.007,1.51
AFG,Asia,Afghanistan,2020-03-31,41128772,91,0,9.571,2,0,0.286,2.213,0,0.233,0.049,0,0.007,1.52
AFG,Asia,Afghanistan,2020-04-01,41128772,91,0,9.571,2,0,0.286,2.213,0,0.233,0.049,0,0.007,1.51
AFG,Asia,Afghanistan,2020-04-02,41128772,91,0,9.571,2,0,0.286,2.213,0,0.233,0.049,0,0.007,1.51
AFG,Asia,Afghanistan,2020-04-03,41128772,91,0,9.571,2,0,0.286,2.213,0,0.233,0.049,0,0.007,1.5
AFG,Asia,Afghanistan,2020-04-04,41128772,91,0,9.571,2,0,0.286,2.213,0,0.233,0.049,0,0.007,1.49
AFG,Asia,Afghanistan,2020-04-05,41128772,274,183,26.143,5,3,0.429,6.662,4.449,0.636,0.122,0.073,0.01,1.49
AFG,Asia,Afghanistan,2020-04-06,41128772,274,0,26.143,5,0,0.429,6.662,0,0.636,0.122,0,0.01,1.49
AFG,Asia,Afghanistan,2020-04-07,41128772,274,0,26.143,5,0,0.429,6.662,0,0.636,0.122,0,0.01,1.49
